source_code,src_table_name,ods_table_name,src_table_comment,column_count,row_count,sync_mode,sync_freq,partition_column,incr_column,storage_format,subject_area_code,updated_at
yummy001,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,商务评分【造价咨询类】,23,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,business_evaluation_design,ods_yummy_business_evaluation_design,商务评分【设计类】,25,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,business_evaluation_general_contracting,ods_yummy_business_evaluation_general_contracting,商务评分【总包、精装修类】,29,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,business_evaluation_supervision,ods_yummy_business_evaluation_supervision,商务评分【监理类】,21,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,commercial_evaluation_fe,ods_yummy_commercial_evaluation_fe,商务评分【公辅设备-交付前】,25,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,commercial_evaluation_miscellaneous,ods_yummy_commercial_evaluation_miscellaneous,商务评分【零星工程、机电、其他施工】,29,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,commercial_evaluation_post_delivery,ods_yummy_commercial_evaluation_post_delivery,商务评分【公辅设备-交付后】,12,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,evaluation_link_management,ods_yummy_evaluation_link_management,评分链接管理表（后台）,5,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,ods_itf_po_employee_df,ods_yummy_ods_itf_po_employee_df,接口-PO-人员数据同步,27,0,FULL,T+1,dt,,Parquet,HRM,2026-04-12
yummy001,supplier_evaluation_list,ods_yummy_supplier_evaluation_list,供应商参评名单,39,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation,ods_yummy_technical_evaluation,技术评分【公辅设备-交付前】——规划部,28,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_cost_consulting,ods_yummy_technical_evaluation_cost_consulting,技术评分【造价咨询类】,33,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_design,ods_yummy_technical_evaluation_design,技术评分【设计类】,35,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_fe,ods_yummy_technical_evaluation_fe,技术评分【公辅设备-交付前】——FE,28,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_general_contracting,ods_yummy_technical_evaluation_general_contracting,技术评分【总包、精装修类】——规划部,74,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_general_contracting_supervision,ods_yummy_technical_evaluation_general_contracting_supervision,技术评分【总包、精装修类】——监理单位,76,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_miscellaneous,ods_yummy_technical_evaluation_miscellaneous,技术评分【零星工程、机电、其他施工】,71,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_post_delivery,ods_yummy_technical_evaluation_post_delivery,技术评分【公辅设备-交付后】,23,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
yummy001,technical_evaluation_supervision,ods_yummy_technical_evaluation_supervision,技术评分【监理类】,63,0,FULL,T+1,dt,,Parquet,SEV,2026-04-12
