source_code,src_db_name,src_table_name,src_column_name,ordinal_position,data_type,is_nullable,column_default,column_comment,constraint_type,ref_table,ref_column,ods_table_name,ods_column_name,transform_rule,updated_at
yummy001,yummy,business_evaluation_cost_consulting,project_to_be_evaluated,1,varchar(255),YES,,待评分项目,-,,,ods_yummy_business_evaluation_cost_consulting,project_to_be_evaluated,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,is_assessment_completed,2,varchar(255),YES,,是否已完成评估,-,,,ods_yummy_business_evaluation_cost_consulting,is_assessment_completed,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,evaluator,3,varchar(255),YES,,评分人员,-,,,ods_yummy_business_evaluation_cost_consulting,evaluator,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,business_evaluation_total_score,4,varchar(255),YES,,业务评价总分,-,,,ods_yummy_business_evaluation_cost_consulting,business_evaluation_total_score,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,contract_amount,5,varchar(255),YES,,合同金额,-,,,ods_yummy_business_evaluation_cost_consulting,contract_amount,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,our_company_entity,6,varchar(255),YES,,我司主体,-,,,ods_yummy_business_evaluation_cost_consulting,our_company_entity,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,supplier_name,7,varchar(255),YES,,供应商名称,-,,,ods_yummy_business_evaluation_cost_consulting,supplier_name,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,project_type,8,varchar(255),YES,,项目类型,-,,,ods_yummy_business_evaluation_cost_consulting,project_type,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,project_name,9,varchar(255),YES,,项目名称,-,,,ods_yummy_business_evaluation_cost_consulting,project_name,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,project_stage,10,varchar(255),YES,,项目阶段,-,,,ods_yummy_business_evaluation_cost_consulting,project_stage,无,2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,bidding_contract_score,11,varchar(255),YES,,【商务配合】：招标合同（15分）,-,,,ods_yummy_business_evaluation_cost_consulting,bidding_contract_score,无,2026-04-12
