source_code,ods_table_name,table_role,role_evidence,business_process,bp_standard_name,bp_desc,subject_area_code,subject_area_basis,fact_type,fact_type_evidence,grain_statement,grain_keys,grain_total_count,grain_distinct_count,grain_check_result,fact_candidate_final,exclude_reason,review_status,updated_at
yummy001,ods_yummy_supplier_evaluation_list,fact,度量证据:含技术评分/商务评分/综合评分/评级;关联证据:引用供应商/项目/评分人;增长证据:按考核周期持续产生,供应商参评登记,供应商参评登记,管理供应商参评名单，汇总技术/商务/综合评分，确定供应商评级,SEV,参评登记是供应商评价流程的入口和汇总节点,accumulating_snapshot,"含多个里程碑确认字段(技术/采购/项目经理评分确认),评分逐步填入,行随流程推进更新",一行一个供应商×项目×考核周期的参评记录,"supplier_name,project_name,evaluation_cycle",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_cost_consulting,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-造价咨询,商务评分_造价咨询,造价咨询类供应商的商务评分，含招标合同、报价签证、付款条件、履约情况等评分项,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_design,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-设计,商务评分_设计,设计类供应商的商务评分，含合同履约、报价签证、付款条件、请款、商务纠纷、设计变更费用、工程概算等评分项,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_general_contracting,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-总包精装修,商务评分_总包精装修,总包/精装修类供应商的商务评分，含招标合同、报价签证、付款条件、请款、商务纠纷、劳务纠纷、结算资料、工程变更、恶意高估等评分项,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_business_evaluation_supervision,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-监理,商务评分_监理,监理类供应商的商务评分，含招标合同、报价签证、付款条件、请款、商务纠纷等评分项,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_commercial_evaluation_fe,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-公辅设备交付前,商务评分_公辅设备交付前,公辅设备(交付前)供应商的商务评分，含价格表现、供应商价格开放度、设备交付比率、发票准确性、商务服务配合度等评分项,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_commercial_evaluation_miscellaneous,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-零星工程,商务评分_零星工程,零星工程/机电/其他施工类供应商的商务评分,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_commercial_evaluation_post_delivery,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,商务评分-公辅设备交付后,商务评分_公辅设备交付后,公辅设备(交付后)供应商的商务评分，仅含投诉&安全处罚&配合度扣分项,SEV,商务评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次商务评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_technical_evaluation,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,技术评分-公辅设备交付前(规划部),技术评分_公辅设备交付前_规划部,公辅设备(交付前)由规划部评技术分，含设备技术参数、公辅方案完整性、风险识别、现场处理能力、需求变更配合等评分项,SEV,技术评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次技术评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
yummy001,ods_yummy_technical_evaluation_cost_consulting,fact,度量证据:含多个评分项(_score字段);关联证据:引用供应商/项目;时间证据:每次评分为一个业务事件,技术评分-造价咨询,技术评分_造价咨询,造价咨询类供应商的技术评分，含咨询配合、方案测算、招标预算、预算转固、签证变更、结算审核、进度款审核、材料询价、资料管理等评分项,SEV,技术评分是供应商履约评价的核心子流程,transaction,"一行一次评分事件,评分完成后不可变,含评分项得分和评分依据",一行一次技术评分事件（待评分项目×评分人）,"project_to_be_evaluated,evaluator",0,0,待验证,Y(确认),,pending,2026-04-13
